2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.247671 Table star Column id db default is nextval('star_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.251539 Table follow Column id db default is nextval('follow_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.256200 Table action Column id db default is nextval('action_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.260484 Table issue Column id db default is nextval('issue_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.264266 Table pull_request Column id db default is nextval('pull_request_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.267934 Table comment Column id db default is nextval('comment_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.272011 Table attachment Column id db default is nextval('attachment_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.276545 Table issue_user Column id db default is nextval('issue_user_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.280917 Table label Column id db default is nextval('label_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.284630 Table issue_label Column id db default is nextval('issue_label_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.289898 Table milestone Column id db default is nextval('milestone_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.293704 Table mirror Column id db default is nextval('mirror_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.296770 Table release Column id db default is nextval('release_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.301171 Table webhook Column id db default is nextval('webhook_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.305847 Table hook_task Column id db default is nextval('hook_task_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.309418 Table protect_branch Column id db default is nextval('protect_branch_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.312923 Table protect_branch_whitelist Column id db default is nextval('protect_branch_whitelist_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.316222 Table team Column id db default is nextval('team_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.320478 Table org_user Column id db default is nextval('org_user_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.326225 Table team_user Column id db default is nextval('team_user_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.330184 Table team_repo Column id db default is nextval('team_repo_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.334422 Table notice Column id db default is nextval('notice_id_seq'::regclass), struct default is 
2021/08/06 17:16:04 [xorm] [warn]  2021/08/06 17:16:04.338260 Table email_address Column id db default is nextval('email_address_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.939572 Table user Column id db default is nextval('user_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.940345 Table user Column max_repo_creation db default is '-1'::integer, struct default is -1
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.947265 Table public_key Column id db default is nextval('public_key_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.962918 Table two_factor Column id db default is nextval('two_factor_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.977874 Table two_factor_recovery_code Column id db default is nextval('two_factor_recovery_code_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.989021 Table repository Column id db default is nextval('repository_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.997020 Table deploy_key Column id db default is nextval('deploy_key_id_seq'::regclass), struct default is 
2021/08/06 17:17:48 [xorm] [warn]  2021/08/06 17:17:48.999600 Table collaboration Column id db default is nextval('collaboration_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.002234 Table upload Column id db default is nextval('upload_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.004599 Table watch Column id db default is nextval('watch_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.007906 Table star Column id db default is nextval('star_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.011951 Table follow Column id db default is nextval('follow_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.016988 Table action Column id db default is nextval('action_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.022308 Table issue Column id db default is nextval('issue_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.027473 Table pull_request Column id db default is nextval('pull_request_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.032499 Table comment Column id db default is nextval('comment_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.036316 Table attachment Column id db default is nextval('attachment_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.040936 Table issue_user Column id db default is nextval('issue_user_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.044563 Table label Column id db default is nextval('label_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.048900 Table issue_label Column id db default is nextval('issue_label_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.053413 Table milestone Column id db default is nextval('milestone_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.057356 Table mirror Column id db default is nextval('mirror_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.061720 Table release Column id db default is nextval('release_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.065068 Table webhook Column id db default is nextval('webhook_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.069846 Table hook_task Column id db default is nextval('hook_task_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.074595 Table protect_branch Column id db default is nextval('protect_branch_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.078350 Table protect_branch_whitelist Column id db default is nextval('protect_branch_whitelist_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.083541 Table team Column id db default is nextval('team_id_seq'::regclass), struct default is 
2021/08/06 17:17:49 [xorm] [warn]  2021/08/06 17:17:49.087344 Table org_user Column id db default is nextval('org_user_id_seq'::regclass), struct default is 
